"";"pred";"obs"
"1";0,322606831789017;0,260620412622908
"2";0,31486964225769;0,306341106424345
"3";0,480803221464157;0,472654801860092
"4";0,378609627485275;0,297745117671487
"5";0,280033797025681;0,25551265119005
"6";0,340242475271225;0,40164445998865
"7";0,491805285215378;0,462065515437038
"8";0,462551593780518;0,523234122916012
"9";0,440215438604355;0,460570573329278
"10";0,3668113052845;0,369253765273546
"11";0,4087193608284;0,391553491754167
"12";0,274137914180756;0,284913436773725
"13";0,358981102705002;0,370499573202929
"14";0,141736567020416;0,168680706831461
"15";0,23721818625927;0,220007480254329
"16";0,269161313772202;0,176529218301463
"17";0,482607185840607;0,516631369543575
"18";0,441312611103058;0,46430794728561
"19";0,374723166227341;0,390806051845174
"20";0,362771153450012;0,35866452868231
"21";0,342480212450027;0,411486256670892
"22";0,306978285312653;0,339105514864969
"23";0,475917875766754;0,427432413789272
"24";0,307572871446609;0,305469049594345
"25";0,744899868965149;0,715460314325659
"26";0,318777650594711;0,36813254934926
"27";0,593783318996429;0,591379097829304
"28";0,429217427968979;0,441883641257846
"29";0,63912308216095;0,624268098275024
"30";0,653865039348602;0,656907964542369
"31";0,60090833902359;0,54690421195725
"32";0,422745555639267;0,397035029202318
"33";0,107445411384106;0,102279808204306
"34";0,236826956272125;0,295627252912103
"35";0,256342560052872;0,278186128770054
"36";0,716144204139709;0,701133703778091
"37";0,384256333112717;0,366139276594974
"38";0,426060259342194;0,410738754472125
"39";0,751531660556793;0,749595135158718
"40";0,126606732606888;0,135417967744312
"41";0,271846264600754;0,193222877618609
"42";0,553679227828979;0,517752585467861
"43";0,431611984968185;0,436028439915994
"44";0,383954286575317;0,380216752964165
"45";0,130194842815399;0,165566218152889
"46";0,509468138217926;0,565715748491734
"47";0,677636384963989;0,768531188950572
"48";0,451558291912079;0,484739042848861
"49";0,132242470979691;0,126323660802882
"50";0,363229990005493;0,461816406174571
"51";0,129124268889427;0,135168808650026
"52";0,664116024971008;0,683817146725231
"53";0,668424189090729;0,66301233743646
"54";0,537430047988892;0,494580789699285
"55";0,426264613866806;0,522860346900719
"56";0,844329297542572;0,901582145299169
"57";0,423943072557449;0,416469401182743
"58";0,342252016067505;0,315559992912919
"59";0,439813911914825;0,465553780130903
"60";0,493939578533173;0,522860346900719
"61";0,255817949771881;0,424940822846414
"62";0,524256944656372;0,547028816420302
"63";0,478376716375351;0,472903973412333
"64";0,119059458374977;0,0773638987757294
"65";0,415065556764603;0,387068677888842
"66";0,869089722633362;0,859225174018318
"67";0,226571068167686;0,246792070432093
"68";0,154715478420258;0,16643827498289
"69";0,364579260349274;0,388812779090888
"70";0,649442076683044;0,624392702738077
"71";0,658302009105682;0,647689065595841
"72";0,517622232437134;0,570823509924592
"73";0,450648993253708;0,411237085118652
"74";0,864054977893829;0,864208281156304
"75";0,486725002527237;0,39105521093946
"76";0,457459002733231;0,477513404198665
"77";0,369004100561142;0,398156245126604
"78";0,135326370596886;0,1478759224586
"79";0,423902094364166;0,43403511732989
"80";0,253669798374176;0,198828969697994
"81";0,479678332805634;0,460196847145804
"82";0,421886950731277;0,457954415297232
"83";0,684130609035492;0,676466953443801
"84";0,328764498233795;0,435280937717228
"85";0,634195923805237;0,625264747110122
"86";0,218257039785385;0,244051332852905
"87";0,304076999425888;0,274947060544339
"88";0,150808200240135;0,13703750185717
"89";0,395410567522049;0,361529845808642
"90";0,354183852672577;0,271209674130053
"91";0,598010897636414;0,60682698659093
"92";0,288709074258804;0,343839550114353
"93";0,509275257587433;0,505668356937046
"94";0,122370265424252;0,158714343060031
"95";0,434707462787628;0,389061938185173
"96";0,413575887680054;0,542793111817444
"97";0,450170129537582;0,383580413194977
"98";0,634950339794159;0,554005233686439
"99";0,345855236053467;0,283667628844341
"100";0,649330079555511;0,536190358445007
"101";0,613125324249268;0,651177267999932
"102";0,762580215930939;0,707113509582995
"103";0,59019136428833;0,667372658960325
"104";0,461866348981857;0,47626762118519
"105";0,0886180475354195;0,116108137937165
"106";0,541153073310852;0,525601109395817
"107";0,218020871281624;0,214401413090854
"108";0,440215438604355;0,444624403752944
"109";0,536601841449738;0,566712359952968
"110";0,109892018139362;0,113990285635737
"111";0,39790865778923;0,437149606008462
"112";0,159457683563232;0,0900710125843033
"113";0,180707201361656;0,134421331367169
"114";0,496747434139252;0,521739130976433
"115";0,108055099844933;0,158340604418602
"116";0,424051225185394;0,456833199372946
"117";0,450704246759415;0,434782619528656
"118";0,145383566617966;0,157717706682888
"119";0,239509835839272;0,263984060395766
"120";0,527119517326355;0,522611187806433
"121";0,130848601460457;0,13404759272574
"122";0,0758059620857239;0,056683693950011
"123";0,492114543914795;0,431169800203558
"124";0,733390033245087;0,708483897059522
"125";0,30395781993866;0,361529845808642
"126";0,466822504997253;0,392051822400693
"127";0,129935413599014;0,0923134444328751
"128";0,882703363895416;0,920767408017127
"129";0,551293432712555;0,535318301615007
"130";0,137979820370674;0,206552889162897
"131";0,0947034582495689;0,0675221145514417
"132";0,340488523244858;0,320044856610062
"133";0,21507616341114;0,251276946587192
"134";0,160103097558022;0,194593265095136
"135";0,504410326480865;0,501930982980715
