Adaline,Salida esperada
56.30988576,61.07
32.06410547,25.450001
31.01922231,42.700001
30.7171936,26.049999
29.96090329,39.700001
22.25543278,12.54
16.94506765,18.42
15.78549085,28.629999
19.96763989,12.18
31.51654239,13.46
22.21053293,27.870001
54.88308635,79.989998
39.74004228,56.619999
18.2904119,11.47
30.97513113,29.549999
21.10577081,17.24
56.30988576,56.139999
25.43806834,18.030001
54.78312286,60.290001
34.54626553,29.07
63.22965569,56.5
23.64246835,21.950001
31.23218912,27.23
14.33766351,20.59
23.07483302,22.440001
33.31744173,33.720001
30.64480096,43.060001
50.22983698,56.099998
38.59711942,56.060001
68.99450246,66.900002
20.99502815,15.03
41.76421041,36.349998
20.53552869,14.2
51.94909306,65.699997
17.55476437,35.23
29.38998225,49.189999
20.90770493,19.690001
48.93215425,35.299999
52.88314929,67.800003
38.82445964,53.52
27.12447461,20.280001
20.71940575,12.46
28.03181581,40.709999
54.0424821,29.790001
55.52621007,74.360001
63.3378976,38.889999
31.7818122,46.389999
21.17642437,7.51
19.16356342,11.36
33.83166889,38.630001
17.03189867,21.969999
21.35362883,11.41
31.84156109,30.139999
59.64024643,40.599998
58.01082197,68.099998
40.87327553,55.509998
39.30401327,38.459999
18.43573523,17.34
41.37543157,34.490002
24.36062876,6.9
30.43499231,38.5
21.24387533,20.77
33.44514204,32.959999
25.25261516,17.540001
34.09694912,43.380001
27.48297124,31.870001
43.86920783,45.299999
12.98532168,7.68
27.37027523,29.75
37.64131654,43.57
51.63271906,71.300003
24.22262852,30.23
23.4236516,22.440001
26.91920805,15.09
48.93215425,35.299999
31.7948706,42.639999
47.92212611,50.700001
36.05196443,40.389999
33.75859427,43.57
51.80632896,55.549999
37.59758414,49.990002
42.2873947,17.82
39.1752776,40.93
14.01967095,7.84
23.12490361,32.720001
23.30206248,13.52
30.93986417,25.1
28.27433781,28.469999
16.96589118,10.54
34.11003552,43.700001
33.71332023,24.1
23.85438842,33.27
30.16484991,37.959999
28.84739488,37.400002
69.14623454,82.599998
48.21952764,52.610001
27.34651578,39.360001
47.76197405,47.279999
30.53976461,34.68
35.06230001,44.610001
26.41515431,19.01
31.73909353,41.200001
31.35171354,37.169998
45.71499391,60.950001
63.67593856,66.699997
25.73165959,32.529999
46.81498279,81.75
57.53144079,56.700001
27.69579669,23.84
23.1435452,9.01
19.68665848,14.4
49.64483435,60.279999
42.75076664,50.080002
23.35041569,18.129999
38.98770966,24.4
25.62974273,25.18
27.07339633,24.85
53.11957363,80.199997
22.6384605,13.29
38.18085836,48.700001
26.76566807,25.73
34.78561041,25.889999
22.92259665,21.65
62.34081124,74.5
43.21150255,59.299999
20.54395433,22.32
23.08463543,17.6
35.3297415,31.379999
23.37424524,27.83
29.81995751,39.16
23.20007792,24.99
54.65735163,77.300003
33.63067383,44.209999
25.61889013,27.34
32.22950989,30.219999
28.30764122,34.240002
28.6435227,29.98
23.71198922,31.42
18.94324154,4.83
45.43908485,38.610001
24.58193693,23.4
52.50157749,72.099998
56.02085958,54.77
20.81616099,8
31.09072669,43.5
23.8423639,27.92
17.8079708,11.39
39.14428165,41.720001
19.78323149,12.18
36.39659722,27.68
22.00693129,14.31
26.27907773,9.73
39.15453711,23.889999
40.7959604,52.040001
40.26507405,50.939999
